[LOG] System::create                           : Header version = 2.02.25. Current version = 2.02.25.
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_181.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_181.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_182.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_182.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_183.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_183.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_184.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_184.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_185.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_185.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_186.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_186.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_187.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_187.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_188.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_188.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_189.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_189.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote//Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_190.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file '/Users/aliyasalmanova1/Library/Application Support/FMOD Studio/UnsavedProjects/Hotswap-VhtZOu/hotswap_190.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] AsyncThread::add                         : add sound to async queue : soundi = 0x33edddfc8, queue head = 0x1100ccf38, queue count = 0
[LOG] AsyncThread::threadFunc                  : Starting Asynchronous operation on sound 0x33edddfc8
[LOG] AsyncThread::threadFunc                  : Finished Asynchronous operation on sound 0x33edddfc8
[LOG] SoundI::release                          : BadApple (0x3691dbda8)
[LOG] SoundI::release                          :     BadApple (0x3b676db78)
[LOG] SoundI::release                          :     BadApple (0x33edddfc8)
[LOG] SoundI::release                          :  (0x1102a1fc8)
[LOG] SoundI::release                          :     MenuClick0 (0x1102941a8)
[LOG] SoundI::release                          :  (0x3b122ddb8)
[LOG] SoundI::release                          :     HitShortRight1 (0x3bb1c1208)
[LOG] SoundI::release                          :  (0x3b63e91a8)
[LOG] SoundI::release                          :     metronome-85688 (0x3b122ed88)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] ProfileClient::markForDead               : Closing client connection
[LOG] ProfileClient::recvThreadLoopFunction    : Socket disconnected
[LOG] Thread::callback                         : FMOD profiler thread (recv) finished.
[LOG] Thread::callback                         : FMOD profiler thread (send) finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
